"Source:","/home/mxd/robocut/project_ledriver/ledriver/ledriver_pcb.sch"
"Date:","Thu 09 Nov 2017 12:15:25 PM EST"
"Tool:","Eeschema 4.0.7-e2-6376~58~ubuntu16.04.1"
"Generator:","/usr/lib/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","69"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","1uf","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C2","0.1uF","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C3","0.1uF","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C4","47uF","device:CP1","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm",""
"","","C5","47uF","device:CP1","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm",""
"","","C6","0.1uF","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C7","0.1uF","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","C8","0.1uF","device:C","Capacitors_SMD:C_0603_HandSoldering",""
"","","D1","LED","device:LED","LEDs:LED_0603_HandSoldering",""
"","","D2","1N4004","device:D","Diodes_SMD:D_SMA_Handsoldering",""
"","","D3","POWER","device:LED","LEDs:LED_0603_HandSoldering",""
"","","DC1","CRE1S0505SC ","robocut_schematic:DC-DC_converter","Converters_DCDC_ACDC:DCDC-Conv_muRata_CRE1xxxxxxSC",""
"","","J1","POT1","conn:Conn_01x03","Connectors_Molex:Molex_KK-6410-03_03x2.54mm_Straight",""
"","","J2","POT2","conn:Conn_01x03","Connectors_Molex:Molex_KK-6410-03_03x2.54mm_Straight",""
"","","J3","RJ2","conn:Conn_01x08","Connectors:RJ45_8",""
"","","J4","OLED_I2C","conn:Conn_01x04","Connectors_Molex:Molex_KK-6410-04_04x2.54mm_Straight",""
"","","J5","RJ1","conn:Conn_01x08","Connectors:RJ45_8",""
"","","J7","Serial2","conn:Conn_01x04","Connectors_Molex:Molex_KK-6410-04_04x2.54mm_Straight",""
"","","J8","USB_B","conn:USB_B","Connectors:USB_B",""
"","","J9","led_out_clk","conn:Conn_01x04","Connectors_Molex:Molex_KK-6410-04_04x2.54mm_Straight",""
"","","J10","USB+-","conn:Conn_01x02","Connectors_Molex:Molex_KK-6410-02_02x2.54mm_Straight",""
"","","J11","RX_O_R","conn:GS3","Connectors:GS3",""
"","","J12","REDE_O_R","conn:GS3","Connectors:GS3",""
"","","J13","TX_O_R","conn:GS3","Connectors:GS3",""
"","","J14","dcdc_bypass","conn:GS2","Connectors:GS2",""
"","","J15","dcdc_bypass","conn:GS2","Connectors:GS2",""
"","","J16","DMX","conn:Conn_01x03","Connectors_Molex:Molex_KK-6410-03_03x2.54mm_Straight",""
